component	upstream_url	upstream_base	release_repository	release_branch	release_commit	release_tree	patch	patch_sha256
openwhisk	https://github.com/apache/openwhisk.git	579635176cc0d7ae53d8ca14502e6b8b4e58a2eb	https://github.com/TEEs-projects/openwhisk-asyncs.git	main	05cf828b78fd93774b6bc0d2f0a0d1236f5137b8	7b9d14f796030e08474a14dc2b08b6228a3cf429	third-party/openwhisk/asynccs-openwhisk.patch	612766c44b50dc23e7ed537a0555245b540a4b3086614570afb994d547c62b9f
wamr	https://github.com/wasm-micro-runtime/wasm-micro-runtime.git	45e3e1ea984b26c076859c6e659cac6f42fffaed	https://github.com/TEEs-projects/wamr-asyncs.git	main	0e8e3967b70a79f5f4942da9a18051ee48ecee64	03e342234171a41d5bab77eb0f589c69c7e426fa	third-party/wamr/asynccs-wamr.patch	f01d6b4af912e9177ce205d10d1ff2de3c2e7811ef36acb2600d1a575c751e8c
